x,y,L
-3,2.96998,2.88274
-2.96,2.91133,2.88811
-2.92,2.8486,2.87396
-2.88,2.78202,2.84239
-2.84,2.71182,2.79535
-2.8,2.63822,2.73472
-2.76,2.56148,2.66223
-2.72,2.48183,2.57953
-2.68,2.39952,2.48816
-2.64,2.3148,2.38956
-2.6,2.22791,2.28507
-2.56,2.13911,2.17595
-2.52,2.04864,2.06336
-2.48,1.95676,1.94837
-2.44,1.86371,1.83198
-2.4,1.76974,1.71511
-2.36,1.67511,1.59859
-2.32,1.58005,1.48319
-2.28,1.4848,1.36961
-2.24,1.38961,1.25846
-2.2,1.2947,1.15031
-2.16,1.20031,1.04567
-2.12,1.10666,0.94497
-2.08,1.01396,0.848596
-2.04,0.922439,0.756882
-2,0.832294,0.670107
-1.96,0.743725,0.588503
-1.92,0.656927,0.512256
-1.88,0.572084,0.441507
-1.84,0.489374,0.376359
-1.8,0.408964,0.316873
-1.76,0.331015,0.263077
-1.72,0.255679,0.214962
-1.68,0.183098,0.17249
-1.64,0.113403,0.13559
-1.6,0.0467192,0.104168
-1.56,0.0168419,0.0780996
-1.52,0.0771772,0.057241
-1.48,0.134194,0.041425
-1.44,0.18781,0.0304654
-1.4,0.237954,0.0241586
-1.36,0.284565,0.0222849
-1.32,0.327592,0.0246109
-1.28,0.366995,0.0308908
-1.24,0.402747,0.0408682
-1.2,0.434829,0.054278
-1.16,0.463234,0.0708474
-1.12,0.487964,0.0902979
-1.08,0.509035,0.112347
-1.04,0.526469,0.136708
-1,0.540302,0.163094
-0.96,0.550579,0.191218
-0.92,0.557355,0.220793
-0.88,0.560693,0.251535
-0.84,0.560669,0.283163
-0.8,0.557365,0.315401
-0.76,0.550875,0.347978
-0.72,0.5413,0.38063
-0.68,0.528749,0.413101
-0.64,0.513341,0.445144
-0.6,0.495201,0.47652
-0.56,0.474463,0.507002
-0.52,0.451266,0.536372
-0.48,0.425758,0.564426
-0.44,0.398091,0.590971
-0.4,0.368424,0.615828
-0.36,0.336923,0.638831
-0.32,0.303755,0.659828
-0.28,0.269096,0.678683
-0.24,0.233121,0.695273
-0.2,0.196013,0.709493
-0.16,0.157956,0.721252
-0.12,0.119137,0.730476
-0.08,0.0797441,0.737106
-0.04,0.039968,0.7411
0,0,0.742434
0.04,0.039968,0.7411
0.08,0.0797441,0.737106
0.12,0.119137,0.730476
0.16,0.157956,0.721252
0.2,0.196013,0.709493
0.24,0.233121,0.695273
0.28,0.269096,0.678683
0.32,0.303755,0.659828
0.36,0.336923,0.638831
0.4,0.368424,0.615828
0.44,0.398091,0.590971
0.48,0.425758,0.564426
0.52,0.451266,0.536372
0.56,0.474463,0.507002
0.6,0.495201,0.47652
0.64,0.513341,0.445144
0.68,0.528749,0.413101
0.72,0.5413,0.38063
0.76,0.550875,0.347978
0.8,0.557365,0.315401
0.84,0.560669,0.283163
0.88,0.560693,0.251535
0.92,0.557355,0.220793
0.96,0.550579,0.191218
1,0.540302,0.163094
1.04,0.526469,0.136708
1.08,0.509035,0.112347
1.12,0.487964,0.0902979
1.16,0.463234,0.0708474
1.2,0.434829,0.054278
1.24,0.402747,0.0408682
1.28,0.366995,0.0308908
1.32,0.327592,0.0246109
1.36,0.284565,0.0222849
1.4,0.237954,0.0241586
1.44,0.18781,0.0304654
1.48,0.134194,0.041425
1.52,0.0771772,0.057241
1.56,0.0168419,0.0780996
1.6,0.0467192,0.104168
1.64,0.113403,0.13559
1.68,0.183098,0.17249
1.72,0.255679,0.214962
1.76,0.331015,0.263077
1.8,0.408964,0.316873
1.84,0.489374,0.376359
1.88,0.572084,0.441507
1.92,0.656927,0.512256
1.96,0.743725,0.588503
2,0.832294,0.670107
2.04,0.922439,0.756882
2.08,1.01396,0.848596
2.12,1.10666,0.94497
2.16,1.20031,1.04567
2.2,1.2947,1.15031
2.24,1.38961,1.25846
2.28,1.4848,1.36961
2.32,1.58005,1.48319
2.36,1.67511,1.59859
2.4,1.76974,1.71511
2.44,1.86371,1.83198
2.48,1.95676,1.94837
2.52,2.04864,2.06336
2.56,2.13911,2.17595
2.6,2.22791,2.28507
2.64,2.3148,2.38956
2.68,2.39952,2.48816
2.72,2.48183,2.57953
2.76,2.56148,2.66223
2.8,2.63822,2.73472
2.84,2.71182,2.79535
2.88,2.78202,2.84239
2.92,2.8486,2.87396
2.96,2.91133,2.88811
3,2.96998,2.88274
