x,y,L
-3,2.96998,2.96998
-2.96,2.91133,2.89105
-2.92,2.8486,2.80871
-2.88,2.78202,2.72356
-2.84,2.71182,2.63615
-2.8,2.63822,2.547
-2.76,2.56148,2.45658
-2.72,2.48183,2.36537
-2.68,2.39952,2.27377
-2.64,2.3148,2.18217
-2.6,2.22791,2.09095
-2.56,2.13911,2.00044
-2.52,2.04864,1.91093
-2.48,1.95676,1.82272
-2.44,1.86371,1.73606
-2.4,1.76974,1.65118
-2.36,1.67511,1.56829
-2.32,1.58005,1.48757
-2.28,1.4848,1.40919
-2.24,1.38961,1.3333
-2.2,1.2947,1.26002
-2.16,1.20031,1.18946
-2.12,1.10666,1.1217
-2.08,1.01396,1.05682
-2.04,0.922439,0.994879
-2,0.832294,0.935913
-1.96,0.743725,0.87995
-1.92,0.656927,0.827004
-1.88,0.572084,0.777076
-1.84,0.489374,0.730154
-1.8,0.408964,0.686215
-1.76,0.331015,0.645227
-1.72,0.255679,0.607146
-1.68,0.183098,0.571921
-1.64,0.113403,0.539491
-1.6,0.0467192,0.509789
-1.56,0.0168419,0.482738
-1.52,0.0771772,0.458258
-1.48,0.134194,0.436261
-1.44,0.18781,0.416654
-1.4,0.237954,0.39934
-1.36,0.284565,0.384218
-1.32,0.327592,0.371183
-1.28,0.366995,0.360127
-1.24,0.402747,0.35094
-1.2,0.434829,0.34351
-1.16,0.463234,0.337724
-1.12,0.487964,0.333467
-1.08,0.509035,0.330624
-1.04,0.526469,0.329081
-1,0.540302,0.328723
-0.96,0.550579,0.329436
-0.92,0.557355,0.331108
-0.88,0.560693,0.333628
-0.84,0.560669,0.336888
-0.8,0.557365,0.340781
-0.76,0.550875,0.345203
-0.72,0.5413,0.350054
-0.68,0.528749,0.355237
-0.64,0.513341,0.360657
-0.6,0.495201,0.366225
-0.56,0.474463,0.371854
-0.52,0.451266,0.377464
-0.48,0.425758,0.382978
-0.44,0.398091,0.388324
-0.4,0.368424,0.393436
-0.36,0.336923,0.39825
-0.32,0.303755,0.402712
-0.28,0.269096,0.40677
-0.24,0.233121,0.410379
-0.2,0.196013,0.4135
-0.16,0.157956,0.4161
-0.12,0.119137,0.41815
-0.08,0.0797441,0.41963
-0.04,0.039968,0.420524
0,0,0.420824
0.04,0.039968,0.420524
0.08,0.0797441,0.41963
0.12,0.119137,0.41815
0.16,0.157956,0.4161
0.2,0.196013,0.4135
0.24,0.233121,0.410379
0.28,0.269096,0.40677
0.32,0.303755,0.402712
0.36,0.336923,0.39825
0.4,0.368424,0.393436
0.44,0.398091,0.388324
0.48,0.425758,0.382978
0.52,0.451266,0.377464
0.56,0.474463,0.371854
0.6,0.495201,0.366225
0.64,0.513341,0.360657
0.68,0.528749,0.355237
0.72,0.5413,0.350054
0.76,0.550875,0.345203
0.8,0.557365,0.340781
0.84,0.560669,0.336888
0.88,0.560693,0.333628
0.92,0.557355,0.331108
0.96,0.550579,0.329436
1,0.540302,0.328723
1.04,0.526469,0.329081
1.08,0.509035,0.330624
1.12,0.487964,0.333467
1.16,0.463234,0.337724
1.2,0.434829,0.34351
1.24,0.402747,0.35094
1.28,0.366995,0.360127
1.32,0.327592,0.371183
1.36,0.284565,0.384218
1.4,0.237954,0.39934
1.44,0.18781,0.416654
1.48,0.134194,0.436261
1.52,0.0771772,0.458258
1.56,0.0168419,0.482738
1.6,0.0467192,0.509789
1.64,0.113403,0.539491
1.68,0.183098,0.571921
1.72,0.255679,0.607146
1.76,0.331015,0.645227
1.8,0.408964,0.686215
1.84,0.489374,0.730154
1.88,0.572084,0.777076
1.92,0.656927,0.827004
1.96,0.743725,0.87995
2,0.832294,0.935913
2.04,0.922439,0.994879
2.08,1.01396,1.05682
2.12,1.10666,1.1217
2.16,1.20031,1.18946
2.2,1.2947,1.26002
2.24,1.38961,1.3333
2.28,1.4848,1.40919
2.32,1.58005,1.48757
2.36,1.67511,1.56829
2.4,1.76974,1.65118
2.44,1.86371,1.73606
2.48,1.95676,1.82272
2.52,2.04864,1.91093
2.56,2.13911,2.00044
2.6,2.22791,2.09095
2.64,2.3148,2.18217
2.68,2.39952,2.27377
2.72,2.48183,2.36537
2.76,2.56148,2.45658
2.8,2.63822,2.547
2.84,2.71182,2.63615
2.88,2.78202,2.72356
2.92,2.8486,2.80871
2.96,2.91133,2.89105
3,2.96998,2.96998
